name,h_index,h_index_rank,composite_score,composite_rank,total_citation_count,total_paper_count,venue_diversity,citations_per_paper,institution,rank_difference,abs_rank_difference
Matt Gardner,47,96.0,0.7098296621294763,158.0,22700,92,0.7103626950538803,246.7391304347826,Allen Institute for Artificial Intelligence,-62.0,62.0
Sarah Wiegreffe,12,509.0,0.7095957037866937,159.0,3439,24,0.8405468787811062,143.29166666666666,,350.0,350.0
Mariama Drame,4,809.0,0.7092036994589707,160.0,2548,24,0.8649735207179272,106.16666666666669,,649.0,649.0
Aditya Siddhant,18,385.0,0.7091225718990385,161.0,5715,36,0.895303585454823,158.75,,224.0,224.0
Yu Gu,12,509.0,0.7088927092088908,162.0,1996,20,0.9685921904321414,99.8,,347.0,347.0
Everton da S. Maldonado,4,809.0,0.7088075834417338,163.0,440,5,1.0,88.0,,646.0,646.0
Sam Shleifer,13,473.0,0.7086978913184891,164.0,8214,43,0.7806678181414528,191.02325581395348,,309.0,309.0
Ozan Irsoy,15,437.0,0.7079188181795364,165.0,3224,36,0.9119010405095448,89.55555555555556,,272.0,272.0
Yige Xu,6,704.0,0.706613723677238,166.0,3005,10,0.9488131148903384,300.5,Nanyang Technological University,538.0,538.0
Victor Veitch,24,281.0,0.7063709714621251,167.0,3743,45,0.8774214242280157,83.17777777777778,,114.0,114.0
Tristan Naumann,25,266.0,0.7056315865000846,168.0,6173,55,0.8962275772430559,112.23636363636363,Microsoft Research Health Futures,98.0,98.0
Sukhdev Singh,4,809.0,0.7049736717803483,169.0,959,4,0.8112781244591328,239.75,,640.0,640.0
A. Abbasi,40,133.0,0.7039604104941433,170.0,6939,116,0.9254462412773792,59.81896551724138,,-37.0,37.0
Samuele Garda,6,704.0,0.7037379758127099,171.0,2348,16,0.9807239409418418,146.75,,533.0,533.0
David G. Dobolyi,14,455.0,0.7025325376088521,172.0,7507,27,0.9714028604103716,278.037037037037,,283.0,283.0
Jason Alan Fries,21,321.0,0.7023104557924673,173.0,6194,38,0.8831317779712174,163.0,Stanford University,148.0,148.0
Benjamin Beilharz,3,852.0,0.7011666666666667,174.0,2255,3,0.9999999999999998,751.6666666666666,Technical University of Darmstadt,678.0,678.0
Paul R. Kingsbury,12,509.0,0.7008008583763607,175.0,4572,23,0.9641843565827052,198.7826086956522,,334.0,334.0
Peng Qi,18,385.0,0.7005713141820943,176.0,6213,37,0.8745670948570389,167.9189189189189,Orby AI,209.0,209.0
Bo Wang,4,809.0,0.7001190603125077,177.0,2315,4,0.946394630357186,578.75,,632.0,632.0
Graham Neubig,84,25.0,0.7000851655692181,178.0,32861,596,0.7910510799254258,55.13590604026846,,-153.0,153.0
Swabha Swayamdipta,18,385.0,0.6996722369201137,179.0,6431,40,0.8657652053054127,160.775,Allen Institute for AI,206.0,206.0
Aston Zhang,29,218.0,0.6992886395575226,180.0,4897,65,0.9102628915089136,75.33846153846154,,38.0,38.0
Victor Sanh,12,509.0,0.6990016142934076,181.0,4065,19,0.9329350879565488,213.94736842105263,,328.0,328.0
Samuel Cahyawijaya,22,306.0,0.6983730025266724,182.0,5051,58,0.8980104740687973,87.08620689655173,,124.0,124.0
Michael Cullan,3,852.0,0.6980218818494794,183.0,2233,7,0.946394630357186,319.0,,669.0,669.0
David McClosky,19,364.0,0.697089312662723,184.0,9807,33,0.926441677957548,297.1818181818182,,180.0,180.0
K. Kavukcuoglu,74,30.0,0.6970249698367271,185.0,187080,113,0.77811759503352,1655.575221238938,,-155.0,155.0
Hua Xu,55,68.0,0.6969996165341615,186.0,10919,233,0.8223340332244594,46.862660944206006,,-118.0,118.0
A. Schwaighofer,21,321.0,0.6964316141380685,187.0,5069,55,0.939192454264213,92.16363636363636,,134.0,134.0
Oscar Sainz,8,635.0,0.6964131848386522,188.0,1334,15,0.9782223928152854,88.93333333333334,University of the Basque Country,447.0,447.0
Zhanghao Wu,10,570.0,0.6954135710456778,189.0,4395,13,0.9533522741071694,338.0769230769231,,381.0,381.0
Haibin Lin,12,509.0,0.694549949403874,190.0,2625,18,0.8069752676736981,145.83333333333334,,319.0,319.0
Romain Paulus,6,704.0,0.6940000000000002,191.0,3023,8,1.0,377.875,,513.0,513.0
Hakime Öztürk,8,635.0,0.6935499331738286,192.0,1662,11,0.94268071481726,151.0909090909091,,443.0,443.0
Alisa Liu,9,599.0,0.6926381408614,193.0,3209,15,0.8982265179691366,213.93333333333337,University of Washington,406.0,406.0
Ishaan Gulrajani,14,455.0,0.6925884690024627,194.0,16480,23,0.9388906303246312,716.5217391304348,,261.0,261.0
M. Soltanolkotabi,39,138.0,0.6918626332739071,195.0,7169,99,0.8145587267444797,72.41414141414141,,-57.0,57.0
Hiroaki Hayashi,13,473.0,0.6917531939272236,196.0,5345,20,0.9052563462508008,267.25,Carnegie Mellon University,277.0,277.0
Isabelle Augenstein,40,133.0,0.6913340863241331,197.0,6068,152,0.8022310302516438,39.921052631578945,University of Copenhagen,-64.0,64.0
Jan A. Botha,11,542.0,0.6913168483337304,198.0,1867,16,0.8405940738665996,116.6875,,344.0,344.0
Khaled Shaalan,50,90.0,0.6906056916282842,199.0,10303,289,0.9165308478559104,35.65051903114187,The British University in Dubai,-109.0,109.0
J. King,34,164.0,0.6905520938454199,200.0,5879,82,0.8881512456263561,71.6951219512195,,-36.0,36.0
