name,h_index,h_index_rank,total_citation_count,total_paper_count,institution
B. Kawas,10,570.0,636,22,
Mai Oudah,10,570.0,538,18,
Xiangyang Liu,10,570.0,1985,15,Fudan University
Weizhe Yuan,10,570.0,4826,23,
H. Al-Khalifa,10,570.0,498,40,
Mariano Schain,10,570.0,664,24,
Kory Kreimeyer,10,570.0,688,27,
D. Summers-Stay,10,570.0,3584,40,
Lucia Specia,10,570.0,378,31,
K. Abid,10,570.0,861,53,
Tom Young,10,570.0,4389,14,
A. Torfi,10,570.0,671,25,
Lukas Lange,10,570.0,554,31,
Huadong Wang,10,570.0,812,21,
Keletso J. Letsholo,10,570.0,431,19,
Zhanghao Wu,10,570.0,4395,13,
Rajkumar Ramamurthy,10,570.0,1057,36,
John Giorgi,10,570.0,3267,21,"University of Toronto, Donnelly Centre for Cellular and Biomolecular Research, Vector Institute for Artificial Intelligence"
I. Guellil,10,570.0,426,23,
Ryan Leary,10,570.0,1533,12,
Jackie Ayoub,10,570.0,469,16,
Dhanya Sridhar,10,570.0,527,14,
Samuel A. Nastase,10,570.0,648,35,
Alexander Erdmann,10,570.0,639,16,
Javier Alvarez-Valle,10,570.0,584,25,
Yu Chen,10,570.0,1113,16,
I. Trofimov,10,570.0,351,26,
Y. Haralambous,10,570.0,621,92,
Qingqing Cao,9,599.0,386,16,University of Washington
Simon Ott,9,599.0,2460,12,
Xiaowei Luo,9,599.0,336,13,
Yijun Xiao,9,599.0,615,13,
Alisa Liu,9,599.0,3209,15,University of Washington
